BrukerID,Kjonn,Alder,Jobb,Postkode
309,F,18,4,43403
310,M,25,14,70005
311,M,18,4,72212
312,M,25,0,84102
313,M,35,5,92867
314,M,25,14,19444
315,M,35,0,97225
316,F,25,0,60302
317,F,45,4,15232
318,F,35,20,93449
319,F,56,13,03261
320,F,25,15,55455
321,M,45,0,24541
322,M,50,19,59457
323,F,35,3,95405
324,F,25,6,60031
325,M,25,20,93637
326,M,35,0,34990
327,M,35,6,45011
328,M,35,15,94002
329,M,25,0,03755
330,F,25,15,15213
331,M,35,7,19610
332,M,18,20,94608
333,M,1,10,558
334,M,25,2,66044
335,M,35,14,48217
336,F,35,4,48103
337,F,35,17,30096
338,F,25,0,46234
339,F,50,13,94931
340,M,25,17,95050
341,M,25,2,32118
342,M,35,11,455
343,F,50,9,76034
344,F,45,20,75214
345,M,56,2,90680
346,M,18,5,10128
347,M,35,20,78664
348,M,25,12,55106
349,F,35,0,80525
350,F,35,2,80012
351,M,25,16,528
352,M,25,15,92121
353,M,25,7,30620
354,M,50,17,48197
355,M,25,12,20850
356,F,25,6,94132
357,M,25,4,02140
358,M,45,5,31901
359,M,56,6,77096
360,M,25,14,14221
361,F,18,4,48104
362,F,25,2,90066
363,M,25,17,92584
364,M,25,17,95035
365,F,1,1,90802
366,F,50,0,20004
367,M,25,0,20008
368,F,1,0,06074
369,M,35,17,20151
370,F,25,16,45750
371,M,18,4,13655
372,M,25,0,60618
373,F,25,2,55106
374,M,25,14,07458
375,M,25,17,27408
376,F,45,6,02453
377,M,18,12,80526
378,M,35,1,98502
379,M,25,20,92649
380,M,18,20,12222
381,F,18,4,44425
382,M,25,7,33916
383,F,56,0,38340
384,F,25,0,66049
385,M,25,4,44514
386,M,25,4,06511
387,M,56,13,01742
388,M,18,19,75602
389,M,25,7,10016
390,F,25,6,22923
391,M,25,7,91423
392,F,25,0,94703
393,M,18,12,832
394,M,18,4,94945
395,M,25,0,90069
396,M,18,12,55105
397,M,25,17,55423
398,M,25,4,90210
399,F,18,4,48103
400,M,18,12,02143
401,M,18,12,55109
402,M,25,7,34695
403,M,25,20,91740
404,M,25,16,67204
405,M,25,4,53703
406,M,35,16,46214
407,M,35,0,94610
408,M,50,14,95823
409,M,18,4,48104
410,M,25,2,10040
411,M,25,14,33133
412,M,25,7,40505
413,M,25,18,54915
414,M,1,4,46311
415,M,25,20,02048
416,M,18,12,10027
417,F,18,0,64030
418,M,35,0,24060
419,F,25,16,02472
420,M,18,4,97266
421,M,25,4,94107
422,M,50,0,200
423,M,18,4,78705
424,F,1,0,14850
425,M,18,6,30064
426,M,18,4,48105
427,M,25,0,19106
428,M,45,14,22901
429,M,25,20,60440
430,F,25,1,26542
431,M,25,12,21045
432,F,35,9,46077
433,F,18,1,60640
434,M,25,0,99163
435,M,25,2,95831
436,M,25,17,60607
437,M,25,0,84119
438,F,35,7,98074
439,M,56,20,92315
440,M,25,15,77047
441,M,35,14,95746
442,M,25,14,74114
443,M,25,16,97209
444,M,35,17,33785
445,M,25,6,55439
446,F,50,20,95503
447,M,18,0,53211
448,M,25,4,70003
449,F,25,7,92122
450,M,50,1,27705
451,M,18,4,92802
452,M,35,20,92308
453,M,35,4,98125
454,M,35,2,62263-3004
455,M,50,0,66048
456,M,25,17,92882
457,M,56,13,90503
458,M,25,0,32118
459,M,25,4,66762
460,M,35,15,33167
461,F,56,13,90732
462,F,25,7,22304
463,F,25,0,97401
464,M,18,4,55455
465,M,56,13,92660
466,M,18,0,90025
467,M,18,19,98126
468,F,50,3,33615
469,M,25,17,95926
470,M,18,4,22201
471,M,35,14,48328
472,F,25,0,98133
473,F,18,4,64151
474,M,35,16,02139
475,F,25,0,06854
476,M,35,6,77083
477,M,35,7,22043
478,M,18,4,21093
479,M,35,7,52003
480,M,56,1,44256
481,M,35,13,76548
482,M,18,4,52003
483,M,45,0,92108
484,F,25,4,53951
485,F,25,4,22902
486,M,25,0,11211
487,M,25,12,17067
488,M,25,6,90640
489,M,25,12,55124
490,M,18,4,82072
491,M,35,20,94122
492,M,50,0,75650
493,M,25,14,07430
494,M,25,7,63303
495,M,45,17,02421
496,F,35,14,92673
497,M,18,6,05273
498,M,25,5,60466
499,M,25,7,85037
500,M,18,4,48073
501,F,35,1,01609
502,M,18,0,48126
503,M,18,7,02215
504,M,1,10,07960
505,M,35,17,48146
506,M,45,1,37027
507,M,1,0,77479
508,M,25,2,11106
509,M,56,6,19027
510,M,25,0,60615
511,M,35,16,85730
512,M,18,17,22043
513,M,25,3,19806
514,M,18,4,81520
515,M,25,4,68108
516,M,25,17,19126
517,M,18,19,29307
518,M,35,7,95008
519,F,56,0,55033
520,M,18,4,60107
521,M,18,17,32694
522,M,35,6,78746
523,M,18,4,10013
524,M,25,1,28607
525,F,25,14,444
526,M,1,10,93111
527,M,18,0,80205
528,M,18,18,55113
529,M,25,0,98503
530,M,56,1,28223
531,M,35,7,38024
532,M,25,17,55125
533,M,18,4,457
534,M,45,17,73069
535,F,18,20,37919-4204
536,F,1,10,13090
537,M,25,17,57006
538,M,45,17,91355
539,F,25,1,14607
540,M,25,15,60004
541,M,35,12,75069
542,F,50,0,95014
543,F,35,2,60201
544,F,25,0,28401
545,M,56,15,79068
546,M,50,0,200
547,F,25,0,92870
548,M,35,18,56303
549,M,50,16,98103
550,M,25,7,10009
551,M,25,7,625
552,F,45,0,94115
553,M,56,14,01545
554,F,25,15,94901
555,M,45,1,02482
556,M,25,20,91367
557,M,35,14,94530
558,F,18,19,95019
559,M,25,2,17003
560,M,1,10,21030
561,M,35,5,04901
562,M,18,2,12345
563,M,25,15,572
564,F,35,2,99701
565,F,25,0,13326
566,F,1,10,47403
567,F,18,20,76205
568,M,35,17,95014
569,M,35,11,46802
570,M,18,4,02454
571,M,25,16,20007
572,M,35,20,55116
573,M,35,0,90034
574,M,25,7,32835
575,F,45,7,60605
576,M,50,20,92106
577,M,25,0,32043
578,F,1,10,94539
579,M,25,17,54915
580,M,25,15,94040
581,M,25,14,02632
582,F,56,1,525
583,M,25,12,440
584,M,35,12,94402
585,M,18,4,60637
586,M,35,14,55418
587,M,50,13,32837
588,M,25,0,55812
589,M,25,14,06405
590,M,35,12,78230
591,M,25,7,89117
592,M,35,7,40601
593,F,56,0,55305
594,M,25,20,15701
595,M,25,7,47714
596,M,25,11,07039
597,M,25,17,28804
598,M,18,19,94111
599,M,18,20,61801
600,M,18,4,457
601,M,25,12,98006
602,M,50,12,90254
603,F,45,1,18042
604,M,35,0,63366
605,F,35,17,94306
606,M,50,13,60622
607,M,25,7,94109
608,M,1,0,75070
609,F,25,0,22207
610,M,50,6,11510-2001
611,M,25,17,55105
612,F,50,16,92026
613,M,45,12,94114
614,M,25,0,22903
615,F,56,0,95005
616,M,35,1,48103
617,M,35,7,10625
618,M,18,4,48135
619,M,50,1,95070
620,M,25,5,55405
621,F,25,17,01453
622,M,25,8,50309
623,F,25,0,78240
624,F,25,12,17013
625,M,25,12,90240
626,M,18,4,14607
627,M,25,5,85281
628,M,25,4,713
629,M,35,18,55434
630,M,35,20,60640
631,M,35,11,95405
632,M,25,14,95820
633,F,25,7,02494
634,M,25,0,78664
635,F,25,0,75070
636,M,25,15,94903
637,F,18,4,19803
638,M,50,13,49423
639,F,25,2,94577
640,M,25,16,22207
641,M,25,16,91402
642,M,35,7,19518
643,M,25,17,94063
644,M,56,13,76051
645,M,25,2,78006
646,M,35,98,94804
647,M,25,15,90034
648,F,50,3,95451-9554
649,M,25,12,44060
650,M,35,14,55330
651,F,1,10,495321
652,M,18,5,48185
653,M,25,12,769
654,M,18,4,02453
655,M,25,16,97378
656,F,35,16,796
657,M,35,0,77005
658,F,18,1,94606
659,M,35,0,79606
660,M,35,17,90620
661,M,18,4,10128
662,M,18,12,44312
663,M,35,7,22904
664,F,50,5,60714
665,F,25,14,78232
666,M,35,7,2020010
667,M,25,4,11423
668,M,35,7,94806
669,M,25,17,27613
670,F,56,0,93105
671,M,18,12,832
672,M,35,0,675
673,F,25,7,03862
674,F,25,1,83705
675,F,18,4,84321
676,F,25,14,60647
677,M,25,17,20910
678,F,56,0,92027
679,M,35,1,16508
680,F,18,4,02138
681,F,18,4,92507
682,M,25,20,87103
683,F,1,0,77515
684,F,1,0,756
685,F,25,4,22903
686,F,25,5,10021
687,F,45,13,37922
688,M,35,7,44115
689,M,35,0,675
690,M,25,0,45014
691,M,1,10,37830
692,M,35,7,02657
693,M,25,2,94404
694,F,1,0,90012
695,F,18,0,55102
696,M,18,7,10014
697,M,35,20,91505
698,M,25,20,90027
699,F,18,0,19102
700,M,18,12,53188
701,F,25,4,95616
702,F,35,7,60137
703,M,25,8,22046
704,F,25,1,01060
705,M,18,4,94133
706,M,25,4,90048
707,F,25,0,04473
708,F,18,4,10033
709,M,25,14,95821
710,M,25,0,08461
711,M,35,20,60640
712,M,25,4,22901
713,M,18,4,03106
714,F,45,17,78722
715,M,56,13,30047
716,M,18,5,441
717,F,35,7,55021
718,M,25,16,22112
719,M,35,7,98467
720,M,18,4,44646
721,M,25,5,345
722,M,35,5,41144
723,M,18,4,457
724,F,56,12,01520
725,M,25,0,94952
726,F,18,4,10039
727,F,35,1,540
728,M,50,0,91505
729,M,25,0,50317
730,M,25,0,539
731,M,35,19,20871
732,M,45,11,90046
733,F,25,11,97370
734,F,35,0,99801
735,M,25,20,85207
736,M,25,17,22041
737,M,25,7,92123
738,F,35,2,27514
739,F,35,12,90640
740,M,18,20,02601
741,M,25,2,33334
742,F,1,10,01915
743,M,18,12,95120
744,F,45,3,38028
745,M,35,7,02370
746,M,25,0,85024
747,M,18,4,443
748,F,25,14,94010
749,M,18,12,55405
750,M,25,15,10461
751,F,18,14,64060
752,F,25,17,94618
753,M,25,12,97330
754,M,18,0,57382
755,M,35,15,02871
756,F,25,20,90046
757,F,45,7,41722
758,M,18,14,60073
759,M,18,4,26201
760,F,25,7,10016
761,F,35,1,19348
762,M,18,0,20037
763,F,35,1,94578
764,M,35,0,90254
765,F,56,6,91941
766,F,56,16,90039
767,M,25,7,15209
768,F,45,15,20910
769,M,18,4,63108
770,F,35,20,78006
771,M,18,4,07030
772,F,35,3,538
773,F,25,20,94591
774,F,35,1,540
775,M,25,16,48309
776,M,50,17,32951
777,M,18,12,90250
778,M,50,1,60062
779,M,50,1,55126
780,M,18,4,68144-2410
781,M,56,13,40511
782,M,25,7,23423
783,F,50,7,10022
784,M,25,17,33823
785,M,18,1,50201
786,M,25,14,393
787,M,56,13,52003
788,M,1,10,19343
789,M,18,4,02777
790,M,35,7,408
791,M,18,4,28403
792,M,18,20,18104
793,M,18,4,457
794,M,35,7,94945
795,M,35,7,63125
796,F,25,11,06107
797,M,35,15,80538
798,M,25,12,91104
799,M,50,3,89102
800,M,35,7,60610
801,M,25,1,02571
802,F,25,0,87114
803,M,25,20,90024
804,M,25,1,01760
805,M,35,16,695
806,M,35,0,460
807,M,50,6,70808
808,M,25,12,60613
809,M,18,7,64055
810,M,50,7,30306
811,F,35,6,90035
812,M,25,12,55107
813,M,25,7,49221
814,M,18,4,46219
815,M,50,12,32920
816,F,45,1,19806
817,F,25,7,08902
818,M,18,0,91320
819,M,56,7,08901
820,M,25,17,92111
821,M,18,4,60201
822,M,35,17,37221
823,F,35,15,06119
824,M,25,0,60622
825,M,25,2,92262
826,M,25,15,92648
827,F,35,16,98072
828,M,25,0,98153
829,M,50,1,98541
830,M,50,7,95762
831,M,25,11,92335
832,F,25,0,264
833,F,1,10,22801
834,M,35,7,06460
835,M,35,0,90069
836,M,35,7,48197
837,M,50,16,90210
838,M,25,17,89147
839,M,25,2,33133
840,M,35,15,55416
841,F,1,0,756
842,M,45,7,02460
843,M,56,17,55105
844,M,18,10,02780
845,F,18,0,98102
846,F,25,1,92646
847,F,35,0,97213
848,M,18,7,700
849,F,45,20,90069
850,F,45,7,490
851,F,18,4,78628
852,M,18,12,94530
853,M,18,10,53207
854,F,25,0,94109
855,F,1,10,90039
856,M,18,0,92122
857,M,25,17,49423
858,M,56,17,84121
859,M,45,0,90404
860,F,1,10,98110
861,M,50,17,98642
862,M,1,10,97201
863,M,18,4,77005
864,F,25,98,11801
865,M,45,98,20880
866,M,25,0,92866
867,M,25,16,34677
868,M,45,11,48104
869,F,35,0,10019
870,M,35,7,07663
871,M,18,0,53706
872,M,25,0,95014
873,M,25,12,55112
874,M,35,5,48342
875,M,25,7,55902
876,F,35,14,60202
877,M,25,3,94118
878,M,35,1,90024
879,M,25,16,20850
880,M,35,7,38555
881,M,35,0,96707-1321
882,M,25,7,55105
883,M,35,98,90803
884,F,25,6,75605
885,M,35,13,63130
886,M,25,0,55428
887,M,25,17,90031
888,M,25,0,91505
889,M,35,16,10014
890,M,18,0,55112
891,M,25,0,98101
892,M,18,5,12582
893,M,18,4,77845
894,M,35,1,92688
895,M,18,4,55405
896,F,35,20,11215
897,M,25,4,60201
898,M,1,10,80439
899,F,25,1,55104
900,F,35,6,14905
901,F,25,4,44406
902,M,35,1,27909
903,F,35,20,75093
904,M,56,7,48114
905,M,35,18,98664
906,F,25,3,90016
907,F,25,7,48237
908,M,25,0,80231
909,M,25,7,48326
910,F,35,1,78155
911,M,50,0,90504
912,M,25,2,92020
913,M,56,0,93711
914,M,45,3,55410
915,M,25,7,98908
916,M,25,0,55113
917,F,25,0,19001
918,M,45,0,10024
919,M,35,14,08822
920,F,25,9,60201
921,M,35,3,20122
922,F,50,2,97424
923,F,25,14,93428
924,M,25,7,10025
925,F,35,1,37922
926,F,35,17,566
927,F,45,9,720
928,F,25,7,19103
929,M,18,12,94703
930,M,25,4,37743
931,M,35,14,10003
932,M,25,5,787
933,M,25,7,94025
934,M,56,0,43528
935,F,35,0,92316
936,F,18,0,97403
937,F,1,0,756
938,M,25,17,49445
939,M,25,0,10025
940,M,18,12,55123
941,F,18,0,94538
942,F,35,7,10562
943,F,35,0,482
944,F,45,1,94061
945,F,25,4,43212
946,M,25,3,07719
947,M,50,7,18977
948,M,35,12,947
949,M,25,1,29205
950,F,25,4,01075
951,M,25,7,33813
952,M,35,1,08904
953,M,18,4,02139
954,M,18,0,88004
955,M,25,12,30337
956,M,25,12,02138
957,F,25,3,52001
958,M,25,2,90068
959,M,35,12,45243
960,M,35,0,97403
961,M,35,1,90049
962,M,18,4,53220
963,M,25,4,55112
964,F,25,6,79410
965,F,35,1,540
966,M,35,14,48187
967,M,50,1,29642
968,F,25,17,92121
969,M,25,12,36115
970,M,18,4,92122
971,M,25,20,10954
972,M,18,4,80302
973,M,35,0,675
974,M,45,13,432
975,M,35,17,92688
976,M,35,0,10011
977,M,25,14,48360
978,F,35,0,94117
979,M,25,0,48162
980,M,50,98,55113
981,M,18,4,02912
982,M,45,2,55409
983,F,25,16,70503
984,M,25,0,06708
985,F,35,1,92801
986,M,35,0,01379
987,F,25,2,90036
988,F,25,0,264
989,M,25,12,07974
990,M,50,14,50265-2850
991,M,25,3,55455
992,M,50,16,13045
993,F,45,1,03768
994,M,25,4,27514
995,M,56,17,94931
996,M,18,4,53190
997,M,18,4,73071
998,M,25,7,22903
999,M,56,20,94708
1000,M,25,0,539
1001,M,18,4,83706
1002,M,18,4,54481
1003,M,25,20,14895
1004,M,50,17,14568
1005,M,18,0,97215
1006,M,45,0,60626
1007,F,18,20,55104
1008,M,25,4,54703
1009,M,35,7,22902
1010,M,45,17,37923
1011,M,18,4,49456
1012,M,56,13,02115
1013,M,50,7,94404
1014,M,35,12,98103
1015,M,35,15,416
1016,M,18,0,46250
1017,M,18,12,19403
1018,F,18,4,94121
1019,M,25,20,55391
1020,M,18,16,94110
1021,M,25,98,03051
1022,M,45,15,92028
1023,M,18,15,87111
1024,F,25,14,46220
1025,M,35,0,32792
1026,M,25,0,46227
1027,F,50,8,84770
1028,M,18,0,677
1029,M,56,16,13031
1030,M,50,13,68502
1031,F,35,1,82601
1032,M,18,0,72837
1033,M,50,13,78232
1034,M,25,5,32839
1035,F,35,6,55128
1036,F,18,7,80503
1037,M,35,17,48323
1038,M,25,98,78731
1039,M,35,1,478
1040,F,25,0,55442
1041,M,25,0,33901
1042,F,18,3,55422
1043,M,35,12,94520
1044,M,18,4,55403
1045,F,35,3,538
1046,F,45,1,12538
1047,M,18,4,48197
1048,F,35,7,94602
1049,M,25,0,539
1050,M,25,2,678
1051,F,25,3,22042
1052,M,45,7,64138
1053,F,35,1,84108
1054,M,25,7,35244
1055,M,35,0,12831
1056,M,35,7,60188
1057,M,50,17,49506
1058,M,35,7,06680
1059,M,18,4,02906
1060,F,35,20,20036
1061,F,25,0,02176
1062,M,35,17,94303
1063,M,18,0,677
1064,F,18,4,55406
1065,F,25,1,75149
1066,M,25,0,07666
1067,F,18,0,91030
1068,M,35,1,49503
1069,F,18,4,552
1070,M,35,7,94506
1071,M,25,17,77449
1072,F,25,1,45056
1073,F,25,6,37922
1074,M,18,4,55455
1075,M,25,16,53406
1076,M,25,14,97219
1077,F,56,13,13057
1078,M,35,17,90026
1079,M,45,1,16801
1080,M,35,5,96707-1321
1081,F,45,20,89134
1082,M,25,11,22043
1083,M,35,1,48912
1084,M,25,0,72058
1085,F,35,16,95003
1086,F,25,9,48103
1087,M,35,16,99352
1088,M,25,0,47401
1089,M,18,16,97405
1090,M,25,0,91125
1091,M,18,2,92109
1092,M,18,98,27705
1093,F,35,9,85255
1094,F,25,7,80013
1095,F,25,98,55071
1096,M,25,17,933
1097,M,35,7,21013
1098,M,25,12,30303
1099,F,50,0,01450
1100,M,35,12,92507
1101,M,18,12,55408
1102,F,25,6,19102
1103,M,25,12,12866
1104,M,35,14,60626
1105,M,35,3,48107
1106,F,35,0,55122
1107,F,25,2,68502
1108,M,35,7,10019
1109,M,25,19,11501
1110,M,35,14,63304
1111,F,35,20,09824
1112,M,25,17,03038
1113,F,25,7,22209
1114,M,18,17,12054
1115,M,35,11,455
1116,M,45,0,43210
1117,M,25,2,13676
1118,M,25,5,96815
1119,M,35,17,91505
1120,M,35,14,92104
1121,F,25,0,21030
1122,M,18,4,06520
1123,M,35,0,94044
1124,M,25,7,46220
1125,M,25,7,19003
1126,F,35,0,92704
1127,M,18,18,13045
1128,M,56,1,49042
1129,M,18,4,44130
1130,M,25,16,60614
1131,M,25,0,02446
1132,M,18,0,91501
1133,F,18,4,552
1134,M,25,1,08904
1135,M,18,4,61801
1136,F,25,0,10021
1137,F,35,9,02879
1138,M,45,0,01904-1355
1139,M,1,0,42754
1140,M,18,4,92647
1141,F,56,13,95320
1142,M,25,6,46835
1143,F,50,3,33611
1144,M,25,6,19428
1145,M,18,10,45904
1146,M,25,14,97202
1147,M,25,7,21234
1148,M,25,0,48103
1149,M,18,12,91423
1150,M,35,15,36109
1151,M,25,20,02062
1152,M,25,4,58102
1153,M,25,12,769
1154,M,25,0,98115
1155,M,25,15,46805
1156,M,25,7,33324
1157,M,35,1,95380
1158,M,25,0,44512
1159,M,25,0,20878
1160,M,35,7,50265
1161,M,1,10,71106
1162,M,25,0,539
1163,M,25,5,55126
1164,M,25,4,94703
1165,M,25,0,72058
1166,F,56,0,98801
1167,F,18,4,14850
1168,M,25,6,79401
1169,M,18,11,10028
1170,M,25,18,57706
1171,M,25,7,80202
1172,M,25,12,97370
1173,M,50,7,34285
1174,M,45,2,98011
1175,M,18,4,53142
1176,M,25,0,07054
1177,M,35,16,95405
1178,M,25,17,933
1179,F,25,6,15202
1180,M,35,17,49015
1181,M,25,0,94086
1182,F,18,4,02912
1183,M,18,4,45750
1184,M,18,0,32219
1185,F,1,10,08820
1186,M,35,14,06880
1187,M,18,16,42141
1188,M,1,13,37130
1189,M,35,11,08003
1190,M,25,0,24210
1191,M,18,19,22030
1192,M,18,4,55455
1193,M,25,1,19103
1194,M,25,15,68516
1195,M,18,4,33720
1196,M,35,0,55379
1197,F,25,1,48316
1198,M,18,12,18052
1199,F,25,1,10706
1200,F,18,12,84107
1201,F,1,0,53589
1202,M,35,0,48116
1203,M,1,0,645
1204,M,25,0,78757
1205,M,18,3,48604
1206,M,18,19,94703
1207,F,25,7,497
1208,F,45,20,10033
1209,M,35,98,30102
1210,M,35,17,26505
1211,M,45,7,13211
1212,M,25,17,438
1213,M,18,4,11710-1641
1214,F,35,4,26505
1215,M,25,7,54942
1216,M,1,10,75082
1217,M,45,7,573
1218,F,25,2,63119
1219,M,25,7,90212
1220,M,18,12,12047
1221,F,25,6,28412
1222,M,35,7,06905
1223,M,18,14,60194
1224,F,25,20,91105
1225,M,25,0,10023
1226,M,35,6,37664
1227,M,18,4,73071
1228,M,35,0,94041
1229,M,35,17,03820
1230,M,56,13,37938
1231,F,25,0,94115
1232,M,45,12,37853
1233,M,50,7,95376
1234,F,45,0,92126
1235,M,25,0,33142
1236,M,25,10,55414
1237,F,25,0,264
1238,M,45,7,61081
1239,M,50,0,200
1240,M,25,12,60025
1241,M,25,17,90048
1242,M,25,3,66205
1243,M,35,20,14850
1244,M,25,7,79416
1245,M,18,0,11803
1246,M,25,11,90211
1247,M,18,0,94530
1248,M,25,0,95819
1249,M,18,4,98105
